School,Public Ranking,Acceptance Rate,Application Fee,In-State Acceptance Rate 2023,Out-of-State Acceptance Rate 2023,2023 # of Applicants,# Accepted,First-Year Enrollment,Yield Rate,25th Percentile GPA,75th Percentile GPA,Average High School GPA,Median SAT,Median ACT,Tuition (In-State),Tuition (Out-of-State),Ratio OOS/InSt Tuition,Food & Housing Cost,Books & Supplies Cost,1st Year Retention,International Retention,% Living on Campus,Undergrad Enrollment,Graduate Enrollment,Out-of-State Students,International Students,Outsource Dining?,% First Years Living On-Campus,Awarded Pell (22-23),1st Gen New Students (F23),Undergrad Engineering Enrollment,Reading Days per Semester/Quarter,Fixed Limit on Individual Counseling?,AAU Member?
UCLA,1,0.09,70,0.09,0.09,"145,910","12,737","6,585",0.52,3.9,4.0,3.9,-,-,"14,208","46,503",3.27,"18,369","1,641",0.97,0.96,0.58,"33,040","15,006",0.13,0.08,No,0.96,0.28,0.32,"4,049",0,No,Yes
UC Berkeley,2,0.12,80,0.15,0.08,"122,403","14,276","6,641",0.47,3.8,4.0,3.9,-,-,"16,832","51,032",3.03,"23,544","1,132",0.96,0.96,0.27,"33,405","12,723",0.15,0.12,No,0.93,0.29,0.34,"4,242",5,No,Yes
UMich,3,0.18,75,-,-,"87,632","15,722","7,466",0.47,3.9,4.0,3.9,1470,33,"18,848","63,081",3.35,"15,328","1,158",0.97,0.95,0.27,"33,730","18,335",0.40,0.08,No,0.96,0.19,0.10,"8,283",2,No,Yes
UVA,4,0.17,75,0.28,0.13,"56,528","9,533","3,966",0.42,-,-,-,-,-,"23,118","60,907",2.63,"15,862","1,480",0.97,-,0.39,"17,618","8,326",0.32,0.05,Yes,0.99,0.15,0.16,"3,086",2,No,Yes
UNC,5,0.19,85,0.41,0.09,"57,902","10,852","4,699",0.43,-,-,-,1460,32,"9,003","41,211",4.58,"13,804","1,290",0.96,0.92,0.51,"20,880","11,616",0.15,0.05,Yes,0.99,0.20,0.18,-,2,No,Yes
UCSD,6,0.25,70,0.25,0.32,"130,845","32,403","7,007",0.22,3.8,4.0,3.9,-,-,"16,815","51,015",3.03,"18,522","1,287",0.94,0.93,0.41,"33,792","8,584",0.10,0.12,No,0.77,0.34,0.36,"5,994",1,No,Yes
UF,7,0.24,30,0.53,0.14,"65,375","15,707","6,762",0.43,3.9,4.0,3.9,1390,31,"6,381","28,658",4.49,"12,120",810,0.97,0.91,0.24,"34,924","19,890",0.11,0.02,Yes,0.78,0.22,0.29,"11,000",2,No,Yes
UT Austin,7,0.29,75,0.41,0.12,"66,109","19,253","9,385",0.49,-,-,-,-,-,"11,678","42,778",3.66,"14,136",724,0.96,-,0.17,"42,444","10,638",0.06,0.04,No,0.64,0.24,0.23,"6,200",1,No,Yes
GTech,9,0.16,75,0.37,0.13,"52,377","8,622","3,760",0.44,-,-,-,1440,32,"12,058","34,484",2.86,"16,200",800,0.98,0.96,0.45,"19,505","28,441",0.29,0.09,No,0.93,0.15,0.14,"8,538",2,No,Yes
UC Davis,9,0.42,80,0.36,0.60,"94,627","39,399","6,581",0.17,-,-,-,-,-,"15,794","47,682",3.02,"19,426","1,386",0.92,-,0.33,"31,797","7,912",0.06,0.13,No,0.90,0.31,0.37,"4,704",1,Yes,Yes
UC Irvine,9,0.26,80,0.20,0.47,"121,095","31,184","6,796",0.22,-,-,-,-,-,"14,737","46,626",3.16,"18,991","1,473",0.93,0.91,0.48,"29,503","7,084",0.07,0.12,Yes,0.81,0.36,-,"4,111",0,No,Yes
UIUC,9,0.44,50,0.56,0.36,"67,398","29,446","8,325",0.28,-,-,-,1450,32,"17,640","36,760",2.08,"14,522","1,200",0.94,-,0.50,"35,564","20,999",0.15,0.14,No,0.99,0.24,0.22,"7,564",1,No,Yes
UCSB,13,0.28,70,0.28,0.33,"110,876","30,805","5,043",0.16,4.0,4.0,3.9,-,-,"15,460","47,755",3.09,"19,947","1,381",0.92,0.90,0.38,"23,232","2,836",0.09,0.10,No,0.95,0.28,0.34,"1,550",1,No,Yes
UW Madison,13,0.43,70,0.61,0.43,"63,537","27,527","7,966",0.29,3.8,4.0,3.9,1440,30,"11,603","42,103",3.63,"14,124","1,100",0.95,0.92,0.25,"37,817","12,816",0.49,0.10,No,0.93,0.16,-,"4,500",1,Yes,Yes
Ohio State,15,0.51,60,0.49,0.50,"70,028","35,588","8,062",0.23,-,-,-,1390,31,"13,244","40,022",3.02,"14,728","1,030",0.94,0.91,0.32,"45,728","14,318",0.21,0.07,No,0.91,0.20,0.18,"9,293",1,Yes,Yes
Rutgers NB,15,0.65,70,0.62,0.72,"43,347","28,326","7,681",0.27,-,-,-,-,-,"17,929","37,441",2.09,"15,714","1,418",0.93,0.93,0.41,"36,588","14,029",0.07,0.07,No,0.75,0.27,0.33,"5,000",2,Yes,Yes
UMD,17,0.45,75,0.54,0.42,"59,369","26,623","6,197",0.23,-,-,-,1450,33,"11,808","41,186",3.49,"15,958","1,250",0.95,0.96,-,"30,608","10,205",0.22,0.03,No,0.89,0.19,-,"4,022",1,Yes,Yes
Purdue,18,0.50,60,0.74,0.50,"72,800","36,602","9,285",0.25,3.7,4.0,3.8,1330,31,"9,992","28,794",2.88,"10,030","1,160",0.92,0.91,0.41,"39,170","13,041",0.48,0.10,Yes,0.93,0.22,0.15,"12,288",2,No,Yes
U Georgia,18,0.37,70,0.50,0.28,"43,416","16,148","6,140",0.38,-,-,-,1320,30,"11,440","31,678",2.77,"11,672",934,0.95,0.93,0.35,"31,514","10,101",0.16,0.01,No,0.98,0.18,0.10,"2,700",1,Yes,No
U Washington,18,0.43,80,0.52,0.38,"62,421","26,545","7,000",0.26,3.8,4.0,3.8,1410,32,"12,973","43,209",3.33,"18,405",900,0.94,0.92,0.26,"39,125","16,105",0.23,0.13,No,0.75,0.19,0.28,"5,611",0,Yes,Yes
Texas A&M,21,0.63,75,0.65,0.53,"51,108","32,249","13,721",0.43,-,-,-,1260,28,"12,413","40,307",3.25,"13,008","1,104",0.94,0.91,0.21,"59,933","16,700",0.04,0.01,Yes,0.50,0.20,0.21,"20,000",1,No,Yes
Virginia Tech,21,0.57,60,0.47,0.63,"47,208","26,923","7,212",0.27,-,-,-,-,-,"15,948","37,158",2.33,"16,550","1,246",0.92,-,0.33,"30,504","7,786",0.36,0.04,No,0.98,0.15,-,"10,275",1,No,No
Florida State,23,0.25,30,0.36,0.14,"74,038","18,793","5,890",0.31,3.6,3.9,3.7,1320,29,"6,517","21,683",3.33,"13,474","1,200",0.95,0.88,0.21,"32,217","11,017",0.14,0.02,Yes,0.80,0.23,0.22,"2,198",0,No,No
U Minn - Twin,23,0.77,55,0.75,0.79,"39,763","30,645","6,721",0.22,-,-,-,1400,29,"17,214","38,362",2.23,"14,006","1,000",0.92,0.91,0.25,"39,556","15,334",0.25,0.06,Yes,0.76,0.23,0.24,-,2,No,Yes
William & Mary,23,0.33,75,-,-,"17,548","5,741","1,619",0.28,3.9,3.9,3.9,1450,33,"26,019","50,752",1.95,"16,182","1,050",0.94,0.91,0.60,"6,963","2,799",0.33,0.04,Yes,0.99,0.12,0.10,0,2,Yes,No
NC State,26,0.40,85,0.50,0.29,"39,822","15,750","5,556",0.35,3.8,4.0,3.9,1370,30,"8,986","33,034",3.68,"14,332",876,0.94,0.94,0.38,"27,323","9,991",0.10,0.02,No,0.97,0.20,0.15,"8,225",1,No,No
Stony Brook,26,0.49,50,0.43,0.61,"50,341","24,670","3,569",0.14,3.6,4.0,3.9,1400,31,"10,644","32,454",3.05,"18,478",900,0.89,0.81,0.52,"17,549","8,316",0.07,0.08,Yes,0.75,0.40,0.40,"3,935",1,Yes,Yes
UC Merced,26,0.89,70,0.92,0.76,"30,017","26,595","2,416",0.09,3.3,3.9,3.6,-,-,"14,610","46,905",3.21,"21,445","1,046",0.83,0.86,0.49,"8,373",775,0.01,0.04,No,0.80,0.58,0.65,"2,192",0,No,No
UMass Amherst,26,0.58,85,0.60,0.59,"50,424","29,129","5,286",0.18,-,-,-,1380,31,"17,772","40,449",2.28,"16,128","1,200",0.90,0.92,0.59,"23,936","7,874",0.21,0.08,No,0.97,0.20,0.22,"2,300",1,No,No
Michigan State,30,0.84,65,-,-,"58,879","49,414","9,371",0.19,-,-,3.8,-,-,"18,826","45,178",2.40,"11,754","1,380",0.91,-,0.43,"40,483","10,833",0.16,0.05,No,0.96,0.21,-,"6,048",0,No,Yes
Penn State,30,0.54,65,0.58,0.53,"85,880","46,565","9,035",0.19,3.5,3.9,3.7,1310,29,"20,644","41,790",2.02,"13,448","1,840",0.92,0.90,0.35,"42,223","6,912",0.37,0.10,Yes,0.96,0.14,0.18,"11,210",2,No,Yes
UConn,32,0.54,80,0.45,0.56,"46,645","25,164","4,189",0.17,-,-,-,1330,31,"21,044","43,712",2.08,"14,380",990,0.92,0.91,0.64,"27,364","7,976",0.27,0.08,Yes,0.96,0.26,0.31,"3,600",2,No,No
U Pitt,32,0.50,55,-,-,"58,416","29,034","4,549",0.16,3.9,4.0,3.9,1360,31,"21,926","41,430",1.89,"13,620",596,0.93,0.86,0.42,"20,220","9,268",0.37,0.05,Yes,0.96,0.17,-,"2,622",1,No,Yes
SUNY Bing,34,0.38,50,0.31,0.75,"49,513","18,683","3,088",0.17,3.9,4.0,3.9,1400,31,"10,363","30,243",2.92,"18,809","1,000",0.91,0.76,0.52,"14,408","4,046",0.08,0.04,Yes,0.97,0.28,0.19,"2,407",1,No,No
IU Bloomington,34,0.80,65,0.76,0.84,"54,279","43,624","9,550",0.22,3.6,4.0,3.8,1280,30,"12,144","41,891",3.45,"13,984","1,250",0.91,0.89,0.32,"36,833","10,694",0.41,0.05,No,0.98,0.17,-,-,2,Yes,Yes
Colorado Mines,36,0.60,50,0.56,0.64,"9,794","5,837","1,436",0.25,-,-,3.8,1400,31,"21,186","44,376",2.09,"16,820","1,500",0.93,-,0.17,"5,852","1,756",0.44,0.03,Yes,0.93,0.16,0.18,-,0,No,No
SUNY Buffalo,36,0.69,50,0.68,0.74,"38,210","26,481","4,271",0.16,3.4,4.0,3.8,1290,30,"10,781","30,571",2.84,"17,426","1,500",0.85,0.89,0.33,"20,463","11,426",0.03,0.12,Yes,0.70,0.34,0.21,"4,897",0,Yes,Yes
UC Riverside,36,0.70,80,0.69,0.85,"55,750","39,169","5,447",0.14,-,-,3.9,-,-,"14,316","48,516",3.39,"20,700","1,750",0.89,0.77,0.34,"22,646","3,780",0.01,0.04,No,0.69,0.52,0.51,"3,800",0,Yes,Yes
Clemson,39,0.38,70,0.49,0.36,"60,122","22,879","4,494",0.20,-,-,-,1320,30,"15,554","39,498",2.54,"12,872","1,388",0.93,0.80,0.41,"22,875","5,872",0.40,0.01,Yes,0.97,0.14,0.14,"5,762",1,No,No
Rutgers Newark,39,0.79,70,0.81,0.78,"17,779","13,997","1,408",0.10,-,-,-,-,-,"17,250","36,762",2.13,"16,074","1,418",0.85,0.87,0.15,"7,417","3,392",0.01,0.02,Yes,0.26,0.58,0.64,0.00,2,No,No
UIC,39,0.79,60,0.81,0.81,"25,420","19,955","4,647",0.23,-,-,3.5,-,-,"18,180","33,726",1.86,"14,400","1,400",0.80,0.87,0.15,"22,107","11,415",0.04,0.07,Yes,0.31,0.50,0.52,"5,050",0,No,No
NJIT,42,0.67,75,0.73,0.62,"13,993","9,362","1,762",0.19,3.5,4.0,3.7,1340,29,"19,000","35,912",1.89,"15,000","2,750",0.89,0.94,0.26,"9,523","3,484",0.05,0.05,Yes,0.38,0.42,0.31,"2,500",1,Yes,No
UC Santa Cruz,42,0.61,80,0.59,0.80,"68,750","42,130","4,379",0.10,3.7,4.0,3.9,-,-,"15,983","50,183",3.14,"19,948","1,192",0.88,0.93,0.51,"17,812","1,952",0.05,0.03,No,0.98,0.32,0.36,-,0,Yes,Yes
U Delaware,44,0.64,75,0.65,0.65,"37,472","23,818","4,205",0.18,2.9,3.7,3.9,1280,29,"16,810","31,400",1.87,"15,386","1,000",0.91,0.89,0.38,"19,119","4,449",0.65,0.04,Yes,0.92,0.16,0.13,"2,550",1,Yes,No
USF,45,0.41,30,0.64,0.32,"65,187","26,699","8,162",0.31,-,-,-,1230,26,"6,410","17,324",2.70,"13,595",770,0.91,0.96,0.20,"37,263","11,303",0.13,0.08,Yes,0.52,0.30,0.15,"3,500",0,No,No
FIU,46,0.59,30,0.49,0.15,"25,034","14,729","5,169",0.35,3.8,4.0,3.9,1150,23,"6,566","18,964",2.89,"11,600","1,350",0.91,0.93,0.08,"44,045","10,040",0.05,0.07,Yes,0.25,0.46,0.38,"7,000",0,Yes,No
Rutgers Camden,46,0.78,70,0.85,0.76,"11,951","9,292",580,0.06,-,-,-,-,-,"17,764","37,276",2.10,"14,376","1,418",0.81,1.00,0.16,"3,922","1,854",0.05,0.02,Yes,0.32,0.45,0.59,0,2,Yes,No
Temple,46,0.83,55,0.84,0.86,"36,399","30,181","3,763",0.12,3.0,3.8,3.4,1260,28,"22,914","38,837",1.69,"14,744","1,250",0.85,0.81,0.19,"21,720","8,485",0.27,0.03,Yes,0.66,0.33,-,-,2,No,No
CU Boulder,46,0.81,65,0.92,0.77,"57,541","46,693","7,546",0.16,3.6,4.0,3.8,1280,30,"14,002","43,622",3.12,"17,784","1,200",0.87,0.90,0.27,"32,100","6,989",0.43,0.03,No,0.94,0.15,0.15,"6,579",2,Yes,Yes
U Iowa,46,0.85,55,0.88,0.87,"25,682","21,746","5,064",0.23,3.0,3.8,3.8,1240,25,"11,283","33,371",2.96,"12,920",950,0.89,0.93,0.28,"22,130","7,912",0.39,0.02,Yes,0.93,0.16,0.21,"2,200",0,No,Yes